,artist_name,track_name,track_id,popularity
134,Russ,Missin You Crazy,4ve2uzqdwnHr20G5YgMMqr,83
135,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,87
136,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,92
137,J. Cole,KOD,7yotKA30dwTKNEGomV9ZsI,81
138,Billie Eilish,come out and play,7wC5eZcFS1Q1BsQ35DU6H4,84
139,Post Malone,Stay,4H7WNRErSbONkM06blBoGc,82
140,Khalid,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,84
141,Marshmello,FRIENDS,08bNPGLD8AhKpnnERrAc6G,88
142,The Chainsmokers,Hope,4BiiOzZCrXEzHRLYcYFiD5,87
143,Metro Boomin,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom,80
144,Lewis Capaldi,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,92
145,Tory Lanez,FeRRis WhEEL (feat. Trippie Redd),6j97zG4DDrh3oUa6rZbFOs,79
146,Gunna,Sold Out Dates (feat. Lil Baby),72LlwJM24dWKpFLVB3PWWQ,79
147,Trippie Redd,Taking A Walk,4mHgYpuGHu99Mw69E83CP2,80
148,Kendrick Lamar,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,84
149,Lauv,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,85
150,Lauv,There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,85
151,Mac Miller,Self Care,5bJ1DrEM4hNCafcDd1oxHx,81
152,Summer Walker,Girls Need Love (with Drake) - Remix,14SaZBTjxlorHJQxXh01Hu,82
153,YBN Cordae,Kung Fu,3i01Zk9c0FQ5HA1WJjflXI,80
154,Migos,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,81
155,Migos,MotorSport,4wFjTWCunQFKtukqrNijEt,82
156,Logic,Everyday,4EAV2cKiqKP5UPZmY6dejk,84
157,Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,1BuZAIO8WZpavWVbbq3Lci,81
158,Imagine Dragons,Bad Liar,2RSHsoi04658QL5xgQVov3,90
159,Madison Beer,Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,82
160,Pardison Fontaine,Backin' It Up (feat. Cardi B),0PpfPNtQOOvbMNVJijTQj0,79
161,Lil Yachty,Yacht Club (feat. Juice WRLD),5R2rsbwCDXORX2tLfprRmM,79
162,5 Seconds of Summer,Lie To Me (feat. Julia Michaels),6GzApXoBQiiAjak3tOQfV3,85
163,Tiësto,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,86
164,YoungBoy Never Broke Again,Outside Today,3sA7HKGzcKTVscdiTCrWpX,77
165,DJ Khaled,No Brainer,5WvAo7DNuPRmk4APhdPzi8,85
166,Maroon 5,Girls Like You (feat. Cardi B),6FRLCMO5TUHTexlWo8ym1W,89
167,Post Malone,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa,82
168,Jeremy Zucker,comethru,18uwL0vNUanqZH0ro2QcOP,83
169,Young Thug,Chanel (Go Get It) [feat. Gunna & Lil Baby],0kCBorRrKZkSztd9m0QI3r,80
170,21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,79
171,Trippie Redd,Shake It Up,6yz0Jndhv0QjKdpcEMbOjz,79
172,Eminem,Killshot,1jo3TwNGCXfNdB5uba3ZVv,82
173,Joji,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,81
174,benny blanco,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,84
175,Kodak Black,MoshPit (feat. Juice WRLD),4KX8vXbouybtUptEyYxtIk,79
176,Shawn Mendes,Lost In Japan,79esEXlqqmq0GPz0xQSZTV,85
177,YNW Melly,Freddy Krueger (feat. Tee Grizzley),0hwkukpHcBJfGcIUxi1tK2,78
178,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ,80
179,NAV,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo,80
180,Anuel Aa,Amanece,1LiN0Z98FkR1t0m8KmLcAH,92
181,NOTD,So Close,7FjZU7XFs7P9jHI9Z0yRhK,86
182,Lil Skies,Creeping (feat. Rich the Kid),7ms3VzLTfr7fXNOqA4Mkx9,80
183,Lil Dicky,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,82
184,21 Savage,all my friends,4paAidoE8VAemwU4jgCc6l,80
185,Bad Bunny,Caro,6it15CsDlkqB7N4lF0C1qM,86
186,Takeoff,Casper,1B4gJRq61xTs6r1O0Uq2iY,79
187,Becky G,Bubalu,7dNwJbsT0sg1le5kVugGJb,89
188,Wiz Khalifa,Hopeless Romantic (feat. Swae Lee),7IBSffWIu7P2MC7kMwy2FM,79
189,Post Malone,Rich & Sad,2VdT56BGpdqNHUgOe1j5vc,81
190,Childish Gambino,This Is America,0b9oOr2ZgvyQu88wzixux9,81
191,A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),0jAfdqv18goRTUxm3ilRjb,80
192,Lil Baby,Life Goes On,2bSk87AVkCIIC3Bcligq1z,78
193,H.E.R.,Could've Been (feat. Bryson Tiller),6lzLjIOyWTyTJvk0jraYee,79
194,AJR,Burn the House Down,0j7pdNXDzEVQST5Zcoh5xo,76
195,Drake,Mob Ties,7rC5Pl8rQSX4myONQHYPBK,80
196,Quavo,WORKIN ME,33tNYw9oMtSkGe27NpgS64,78
197,6ix9ine,WAKA (feat. A Boogie Wit da Hoodie),6o79O9qBP3OAkWOXajAQIS,79
198,Lil Tjay,Brothers,3OKjDHmSJVKOn6V4hCR8bq,78
199,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,85
200,KYLE,Playinwitme (feat. Kehlani),4F1yvJfQ7gJkrcgFJQDjOr,80
201,Lil Wayne,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,78
202,John Mayer,New Light,3bH4HzoZZFq8UpZmI2AMgV,85
203,5 Seconds of Summer,Youngblood,55S2PQgSMYAhgoTCcGCDfw,84
204,Lady Gaga,Always Remember Us This Way,2rbDhOo9Fh61Bbu23T2qCk,88
205,Dominic Fike,3 Nights,1tNJrcVe6gwLEiZCtprs1u,84
206,Ski Mask The Slump God,Take A Step Back,2gQYziDV5cSTRSqr6akzi5,79
207,Post Malone,Paranoid,3fpVWegR6YOS1Yk5HSMYIq,81
208,Migos,Narcos,0wbnC9AUenxp613TYaJsGK,80
209,Silk City,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,87
210,YNW Melly,Mama Cry,2fSW54bA6x2iWePU7rpCiP,77
211,Rodney Atkins,Caught Up In The Country,2BgunkkepMPFpArQj1Dx5s,77
212,Mau y Ricky,Desconocidos,0s5DNDV6LAKn2u2Ufa3VjQ,93
213,Tyga,Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,82
214,Daddy Yankee,Adictiva,6MJUCumnQsQEKbCy28tbCP,91
215,Trippie Redd,Love Scars 3,0AcicReEGm1qcENjqzh1Tg,78
216,Juice WRLD,Rich And Blind,6QNFQJKlZUKr0xlGZ74CZJ,78
217,Roddy Ricch,Every Season,7uDmtMSHiwHt4SXqxbYqIr,77
218,Anuel Aa,Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,89
219,Lennon Stella,La Di Da,2YyvWje3cEYyqgYhNUIaBJ,81
220,Drake,I'm Upset,3qN5qMTKyEEmiTZD38BNTT,79
221,Scotty McCreery,This Is It,34DFpyq5NJJ79GnGbbJH3p,77
222,XXXTENTACION,NUMB,01TnVDiet1DFTsyWKUKovl,80
223,YoungBoy Never Broke Again,Valuable Pain,61Oo3DUJubecZQosjho6Pp,76
224,Daniel Caesar,Who Hurt You?,23c9gmiiv7RCu7twft0Mym,79
225,Martin Garrix,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,84
226,Cardi B,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,78
227,Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,85
228,Ella Mai,Shot Clock,2GlATHCDbLW7xq5BE0Bz5g,78
229,Calvin Harris,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,89
230,YK Osiris,Valentine,15Nn5EEGQqlptGwiB2NVYV,77
231,Cardi B,Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,78
232,YNW Melly,Butter Pecan - Bonus Track,5k839GqASwcI2yTjBVSxdu,76
233,Anne-Marie,2002,2BgEsaKNfHUdlh97KmvFyo,86
234,Paulo Londra,Adan y Eva,6FyRXC8tJUh863JCkyWqtk,94
235,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,83
236,Twenty One Pilots,Chlorine,23OXdR7YuUBVWh5hSnYJau,83
237,Cardi B,Be Careful,2Yl4OmDby9iitgNWZPwxkd,78
238,Jimmie Allen,Best Shot,3VamXAvVMczcS2PTYtPfBQ,77
239,Pink Sweat$,Honesty,5dXI2NV7X2c4anyLFbQdEX,79
240,lovelytheband,broken,6XcfKZvJio9Z0fQy11GnNX,78
241,Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",51rXHuKN8Loc4sUlKPODgH,79
242,Bad Bunny,Solo de Mi,5YOkA7qd2983FtBQnP8sYx,85
243,A Boogie Wit da Hoodie,Come Closer (feat. Queen Naija),3UhRsQVrELOATEiY7E9X2T,78
244,Bas,Tribe (with J. Cole),0YAQnYt2oB8OdoaeqnHyTI,79
245,Bazzi,3:15,6pmZMP2ET1OJi5rKfLO8jD,78
246,Gucci Mane,Wake Up in the Sky,2G1tXoGBaEMJ7FKGnkf6ud,80
247,Social House,Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,77
248,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),3vWzyGTu6Ovo1GdrcJqH6e,80
249,YNW Melly,Virtual (Blue Balenciagas),792MY19uNkA4SJBqdw5a84,76
